Entity,Code,Year,Living Planet Index,Upper CI,Lower CI
Africa,,1970,100,100,100
Africa,,1971,95.46197,104.9108,87.790567
Africa,,1972,94.68341500000001,110.86783,81.47984000000001
Africa,,1973,99.181175,120.87072,81.90875
Africa,,1974,99.384934,127.87778,77.14461
Africa,,1975,96.61807999999999,132.44863,69.76196
Africa,,1976,92.4302,134.84796,61.837050000000005
Africa,,1977,87.26711999999999,131.952,56.34361
Africa,,1978,80.73154,125.72731999999999,50.86064999999999
Africa,,1979,76.92542999999999,125.75388999999998,46.26641
Africa,,1980,76.90819,132.82049,43.880004
Africa,,1981,79.57674,142.61507,43.644804
Africa,,1982,76.40778,139.82531,41.075351999999995
Africa,,1983,73.15032500000001,134.31398000000002,39.057097
Africa,,1984,68.47612,126.08140000000002,36.338758
Africa,,1985,63.735693999999995,117.93070000000002,33.653042
Africa,,1986,59.79401,111.44868000000001,31.480372000000003
Africa,,1987,57.302266,107.70772,30.151214999999997
Africa,,1988,56.04172,105.84155,29.4651
Africa,,1989,55.163693,104.7286,28.956127
Africa,,1990,53.534119999999994,102.04711,27.992064
Africa,,1991,52.495760000000004,100.47737000000001,27.323914
Africa,,1992,52.553064000000006,101.03819,27.247414
Africa,,1993,52.879715000000004,102.22621999999998,27.229813000000004
Africa,,1994,53.79903,104.64112999999999,27.489397
Africa,,1995,53.20898,104.13283,27.013078
Africa,,1996,53.31399999999999,104.83172,26.997986
Africa,,1997,52.35895000000001,103.34549,26.479855
Africa,,1998,51.48128,101.86649999999999,26.052165
Africa,,1999,50.7355,100.53806999999999,25.653645000000004
Africa,,2000,49.84782,99.06280600000001,25.194833
Africa,,2001,47.79694,95.5173,24.047057
Africa,,2002,45.418295,91.410357,22.7726
Africa,,2003,43.467075,88.07930400000001,21.584627
Africa,,2004,43.0759,88.143677,21.047457
Africa,,2005,42.34751,87.52023,20.352491999999998
Africa,,2006,41.760892,87.05808499999999,19.843455
Africa,,2007,41.764033,87.35758,19.82945
Africa,,2008,42.106512,88.00000999999999,19.957817
Africa,,2009,42.209774,88.48471,19.960947
Africa,,2010,41.113392,86.38893399999999,19.391655999999998
Africa,,2011,39.325637,83.07537,18.496186
Africa,,2012,36.957404,78.1069,17.35908
Africa,,2013,34.51454,73.001695,16.184811
Africa,,2014,32.49287,68.62863300000001,15.238576
Africa,,2015,31.293574000000003,66.256154,14.669146999999999
Africa,,2016,32.054221999999996,68.026894,14.968883
Africa,,2017,34.445876,73.43357999999999,15.991855
Asia and Pacific,,1970,100,100,100
Asia and Pacific,,1971,103.71096,109.73047,98.47158
Asia and Pacific,,1972,104.83867000000001,114.40424,96.100694
Asia and Pacific,,1973,104.1134,114.80968,93.620443
Asia and Pacific,,1974,104.98114999999999,116.57597,93.8733
Asia and Pacific,,1975,105.98035999999999,118.40523,94.33209000000001
Asia and Pacific,,1976,106.01545999999999,119.12738,93.97155000000001
Asia and Pacific,,1977,104.16127,117.26179,92.153233
Asia and Pacific,,1978,102.56186000000001,115.72869999999999,90.49999
Asia and Pacific,,1979,101.44664000000002,114.75374000000001,89.24706
Asia and Pacific,,1980,100.67151999999999,114.19536,88.32681
Asia and Pacific,,1981,99.026155,112.65767,86.6304
Asia and Pacific,,1982,96.717304,110.36654999999999,84.34331
Asia and Pacific,,1983,93.70903,107.25349,81.48149000000001
Asia and Pacific,,1984,92.25159000000001,106.70655,79.47895
Asia and Pacific,,1985,92.458534,108.66195,78.492355
Asia and Pacific,,1986,94.252414,113.65441999999999,78.26455
Asia and Pacific,,1987,94.757587,116.5778,77.42004
Asia and Pacific,,1988,94.40385,118.01323,76.22282
Asia and Pacific,,1989,93.061244,117.27253,74.67910599999999
Asia and Pacific,,1990,90.09349,114.69969,71.54258999999999
Asia and Pacific,,1991,86.526734,111.54144,67.83386
Asia and Pacific,,1992,82.85733499999999,108.19927,64.09076
Asia and Pacific,,1993,78.79221,104.01789,60.28006
Asia and Pacific,,1994,75.63638999999999,100.8917,57.15854
Asia and Pacific,,1995,72.34422,97.493047,54.07322
Asia and Pacific,,1996,70.80678,96.063626,52.50692
Asia and Pacific,,1997,68.932796,94.21723,50.77584
Asia and Pacific,,1998,66.69414,91.799045,48.745551999999996
Asia and Pacific,,1999,64.504075,89.51847000000001,46.805006
Asia and Pacific,,2000,62.26602,86.936504,44.924057
Asia and Pacific,,2001,61.274499999999996,85.811317,43.987494999999996
Asia and Pacific,,2002,61.50519,86.17513,43.99993
Asia and Pacific,,2003,62.201874999999994,87.21953,44.328162
Asia and Pacific,,2004,63.06195,88.82842,44.817626
Asia and Pacific,,2005,62.876225,89.2961,44.50083
Asia and Pacific,,2006,62.67986,89.850974,44.099128
Asia and Pacific,,2007,59.98012000000001,86.90742,41.737357
Asia and Pacific,,2008,55.849594,81.72202,38.40117
Asia and Pacific,,2009,50.052905,74.30290000000001,33.88529
Asia and Pacific,,2010,46.797657,70.76373000000001,31.154041999999997
Asia and Pacific,,2011,44.423908,68.612015,28.923032
Asia and Pacific,,2012,43.996629999999996,69.18258,28.050642999999997
Asia and Pacific,,2013,44.64906,71.09429,27.924296
Asia and Pacific,,2014,45.918136999999994,73.70648,28.423893
Asia and Pacific,,2015,46.883875,75.92752,28.74162
Asia and Pacific,,2016,44.755146,73.144644,27.245098000000002
Asia and Pacific,,2017,44.335765,73.03723,26.841158
Asia and Pacific,,2018,44.679649999999995,74.030787,26.983684000000004
Europe and Central Asia,,1970,100,100,100
Europe and Central Asia,,1971,101.27226,103.95843,98.825
